Signal,Model,Patch Length,Horizon,d_model,Heads,FFN Dim,Layers,RMSE,MAE
Log × Sine,Full,4,4,8,2,32,2,0.1065015,0.08931955
Log × Sine,Minimal,4,8,8,2,32,2,0.03249499,0.026053084
Log × Sine,Standard,4,8,8,2,32,2,0.05018655,0.041954685
Log × Sine,Full,4,8,8,2,32,2,0.052463815,0.042262472
Log × Sine,Minimal,8,4,8,2,32,2,0.03012564,0.025730306
Log × Sine,Standard,8,4,8,2,32,2,0.033158317,0.028313449
Log × Sine,Full,8,4,8,2,32,2,0.09902618,0.07443697
Log × Sine,Minimal,8,8,8,2,32,2,0.0263743,0.02236394
Log × Sine,Standard,8,8,8,2,32,2,0.0662538,0.054436672
Log × Sine,Full,8,8,8,2,32,2,0.05500148,0.047535706
Log × Sine,Minimal,12,4,8,2,32,2,0.031195061,0.025698602
Log × Sine,Standard,12,4,8,2,32,2,0.053895555,0.045351483
Log × Sine,Full,12,4,8,2,32,2,0.033716038,0.028074058
Log × Sine,Minimal,12,8,8,2,32,2,0.041318614,0.035230055
Log × Sine,Standard,12,8,8,2,32,2,0.035512105,0.0309881
Log × Sine,Full,12,8,8,2,32,2,0.04089819,0.03454542
Gaussian Bump,Minimal,4,4,8,2,32,2,0.063396454,0.051128555
Gaussian Bump,Standard,4,4,8,2,32,2,0.066908695,0.054496568
Gaussian Bump,Full,4,4,8,2,32,2,0.0664334,0.053882245
Gaussian Bump,Minimal,4,8,8,2,32,2,0.0672317,0.053459097
Gaussian Bump,Standard,4,8,8,2,32,2,0.06652095,0.053604487
Gaussian Bump,Full,4,8,8,2,32,2,0.06601488,0.053802833
Gaussian Bump,Minimal,8,4,8,2,32,2,0.061759584,0.049509544
Gaussian Bump,Standard,8,4,8,2,32,2,0.062919274,0.050758623
Gaussian Bump,Full,8,4,8,2,32,2,0.067321606,0.05484604
Gaussian Bump,Minimal,8,8,8,2,32,2,0.068570025,0.05519137
Gaussian Bump,Standard,8,8,8,2,32,2,0.06286483,0.05084306
Gaussian Bump,Full,8,8,8,2,32,2,0.06707273,0.0544347
Gaussian Bump,Minimal,12,4,8,2,32,2,0.067569405,0.055439208
Gaussian Bump,Standard,12,4,8,2,32,2,0.07352805,0.05941663
Gaussian Bump,Full,12,4,8,2,32,2,0.06449264,0.052362002
Gaussian Bump,Minimal,12,8,8,2,32,2,0.06807314,0.05498053
Gaussian Bump,Standard,12,8,8,2,32,2,0.0630465,0.050720993
Gaussian Bump,Full,12,8,8,2,32,2,0.077015914,0.061862484
Long Period Sine,Minimal,4,4,8,2,32,2,0.06331885,0.051156707
Long Period Sine,Standard,4,4,8,2,32,2,0.08029612,0.062087957
Long Period Sine,Full,4,4,8,2,32,2,0.08722286,0.07368061
Long Period Sine,Minimal,4,8,8,2,32,2,0.08197311,0.06620079
Long Period Sine,Standard,4,8,8,2,32,2,0.08175607,0.06297713
Long Period Sine,Full,4,8,8,2,32,2,0.114722624,0.09585782
Long Period Sine,Minimal,8,4,8,2,32,2,0.0605194,0.048864294
Long Period Sine,Standard,8,4,8,2,32,2,0.05332569,0.04306283
Long Period Sine,Full,8,4,8,2,32,2,0.054905724,0.044272147
Long Period Sine,Minimal,8,8,8,2,32,2,0.09753668,0.07648444
Long Period Sine,Standard,8,8,8,2,32,2,0.12602222,0.10592933
Long Period Sine,Full,8,8,8,2,32,2,0.07177229,0.055010345
Long Period Sine,Minimal,12,4,8,2,32,2,0.044775035,0.036322825
Long Period Sine,Standard,12,4,8,2,32,2,0.053059846,0.042969663
Long Period Sine,Full,12,4,8,2,32,2,0.07298755,0.057774924
Long Period Sine,Minimal,12,8,8,2,32,2,0.09430527,0.076412156
Long Period Sine,Standard,12,8,8,2,32,2,0.064239524,0.05300923
Long Period Sine,Full,12,8,8,2,32,2,0.089109726,0.069023676
Cubic Polynomial,Minimal,4,4,8,2,32,2,0.12242897,0.09859392
Cubic Polynomial,Standard,4,4,8,2,32,2,0.10627899,0.08775293
Cubic Polynomial,Full,4,4,8,2,32,2,0.060447913,0.047791086
Cubic Polynomial,Minimal,4,8,8,2,32,2,0.11120159,0.09375022
Cubic Polynomial,Standard,4,8,8,2,32,2,0.102535546,0.090235695
Cubic Polynomial,Full,4,8,8,2,32,2,0.08700667,0.06730985
Cubic Polynomial,Minimal,8,4,8,2,32,2,0.10705293,0.08952354
Cubic Polynomial,Standard,8,4,8,2,32,2,0.08555447,0.06916447
Cubic Polynomial,Full,8,4,8,2,32,2,0.07704559,0.05896151
Cubic Polynomial,Minimal,8,8,8,2,32,2,0.11681945,0.100265644
Cubic Polynomial,Standard,8,8,8,2,32,2,0.10381972,0.087768935
Cubic Polynomial,Full,8,8,8,2,32,2,0.08534053,0.06850204
Cubic Polynomial,Minimal,12,4,8,2,32,2,0.1588297,0.13702458
Cubic Polynomial,Standard,12,4,8,2,32,2,0.13761567,0.11900882
Cubic Polynomial,Full,12,4,8,2,32,2,0.11164778,0.09257842
Cubic Polynomial,Minimal,12,8,8,2,32,2,0.12687144,0.10786304
Cubic Polynomial,Standard,12,8,8,2,32,2,0.101555616,0.084336326
Cubic Polynomial,Full,12,8,8,2,32,2,0.10751753,0.0892456
Exponential Growth,Minimal,4,4,8,2,32,2,0.1750147,0.15553784
Exponential Growth,Standard,4,4,8,2,32,2,0.18201044,0.1624051
Exponential Growth,Full,4,4,8,2,32,2,0.16951872,0.15060738
Exponential Growth,Minimal,4,8,8,2,32,2,0.18658052,0.16745882
Exponential Growth,Standard,4,8,8,2,32,2,0.15012164,0.13443162
Exponential Growth,Full,4,8,8,2,32,2,0.13316686,0.11778496
Exponential Growth,Minimal,8,4,8,2,32,2,0.1893241,0.16896288
Exponential Growth,Standard,8,4,8,2,32,2,0.17559257,0.15362886
Exponential Growth,Full,8,4,8,2,32,2,0.18621999,0.16900024
Exponential Growth,Minimal,8,8,8,2,32,2,0.1948851,0.17546295
Exponential Growth,Standard,8,8,8,2,32,2,0.17514458,0.1537631
Exponential Growth,Full,8,8,8,2,32,2,0.14247058,0.122667685
Exponential Growth,Minimal,12,4,8,2,32,2,0.178353,0.15616861
Exponential Growth,Standard,12,4,8,2,32,2,0.19083652,0.16803448
Exponential Growth,Full,12,4,8,2,32,2,0.18470241,0.16304846
Exponential Growth,Minimal,12,8,8,2,32,2,0.16164637,0.14068829
Exponential Growth,Standard,12,8,8,2,32,2,0.13558955,0.11394854
Exponential Growth,Full,12,8,8,2,32,2,0.14386053,0.12226169
Cosine Envelope × Sine,Minimal,4,4,8,2,32,2,0.05815506,0.046817776
Cosine Envelope × Sine,Standard,4,4,8,2,32,2,0.06348597,0.05230457
Cosine Envelope × Sine,Full,4,4,8,2,32,2,0.061620813,0.05011978
Cosine Envelope × Sine,Minimal,4,8,8,2,32,2,0.07248035,0.057162397
Cosine Envelope × Sine,Standard,4,8,8,2,32,2,0.067830466,0.054966524
Cosine Envelope × Sine,Full,4,8,8,2,32,2,0.082864806,0.066901065
Cosine Envelope × Sine,Minimal,8,4,8,2,32,2,0.05685443,0.044764146
Cosine Envelope × Sine,Standard,8,4,8,2,32,2,0.054338563,0.044409815
Cosine Envelope × Sine,Full,8,4,8,2,32,2,0.054736838,0.044697657
Cosine Envelope × Sine,Minimal,8,8,8,2,32,2,0.060896747,0.04636074
Cosine Envelope × Sine,Standard,8,8,8,2,32,2,0.06792848,0.055623986
Cosine Envelope × Sine,Full,8,8,8,2,32,2,0.06508531,0.05363746
Cosine Envelope × Sine,Minimal,12,4,8,2,32,2,0.052164644,0.04293504
Cosine Envelope × Sine,Standard,12,4,8,2,32,2,0.049207818,0.03967475
Cosine Envelope × Sine,Full,12,4,8,2,32,2,0.050601956,0.03969747
Cosine Envelope × Sine,Minimal,12,8,8,2,32,2,0.06841422,0.055051733
Cosine Envelope × Sine,Standard,12,8,8,2,32,2,0.066185094,0.055134926
Cosine Envelope × Sine,Full,12,8,8,2,32,2,0.0935375,0.07535228
